Port_ID,Total_Trades,Win_Rate,Total_Profit,ROI,Avg_Profit_Per_Trade
4020204877254599680,6050,0.3294214876033058,71998.85595307,0.311560819422595,11.900637347614875
3999240873283311617,4522,0.5232198142414861,42574.473678790004,0.543673453021995,9.414965430957542
4021669203289716224,1682,0.31391200951248516,26427.33159178,0.4044195741684947,15.711849935659927
3960874214179953664,2391,0.5156838143036386,19567.47128569,0.23329625287420802,8.18380229430782
3907081197088384000,4137,0.6139714769156394,18015.997370259996,1.0992418198530547,4.354845871467246
4028701921959171840,687,0.5429403202328966,17601.40139824,0.40648048877447035,25.62067161315866
3956076827719377409,3916,0.5155771195097038,16790.01223802,1.0322298310165385,4.287541429525025
3986814617275053313,3554,0.7822172200337648,16337.46188064,0.871628342633023,4.596922307439504
4022565861939831809,705,0.5276595744680851,14197.577075890002,0.23307950047083875,20.138407199843975
3788465932399412480,3069,0.44607363962202673,13960.966456670001,0.8368063722229275,4.549027845118932
3987739404272887297,6050,0.22826446280991736,12464.6063154,0.5570133876861023,2.060265506677686
4008711265867865600,394,0.4213197969543147,11298.706389769999,0.3082403414586579,28.676919770989844
3936410995029308417,20,0.3,10681.514000000001,1.7910538387345118,534.0757000000001
3931992636670880512,6050,0.40165289256198344,10374.96528998,0.5710796250365378,1.7148702958644628
3939318616482048768,315,0.3746031746031746,9775.389109840002,1.0162799258193589,31.03298130107937
3998572645139652353,266,0.35714285714285715,9603.58535988,0.46803137819487584,36.10370436045113
3962024093501274881,1273,0.26472898664571876,9314.494060179999,0.1459067814121948,7.316963126614296
4031493134338259457,1889,0.36156696664902066,9082.698287860003,0.11586957297271358,4.80820449330863
3944088772635000577,6063,0.4575292759360053,7581.491983399999,0.7088427632933676,1.2504522486227938
4037121179310444801,1595,0.48401253918495296,7237.92173826,0.12970305351111835,4.537881967561129
3886752488982104320,1249,0.745396317053643,7195.178324640001,0.8994404782536423,5.7607512607205775
4017263283405469185,6050,0.336198347107438,7141.36641939,0.1145843979867238,1.1803911437008265
4026179081117855488,197,0.233502538071066,6796.18836,0.40718015560637894,34.49841807106599
3925368433214965504,1458,0.3333333333333333,6789.436738630001,0.3753030637163513,4.656678147208505
3910983669796782848,640,0.428125,6761.648048249999,0.7175143454263484,10.565075075390624
3942630767220672256,4969,0.3829744415375327,6611.89848042,0.5463509212488181,1.3306295996015294
3818233536529843712,1421,0.3391977480647431,6419.607907139999,0.7892085598942918,4.517669181660802
3953764659057081857,583,0.30874785591766724,6048.86608919,0.3711734934649143,10.37541353205832
3976088733682659585,2814,0.43567874911158494,5901.15009982,0.39612502374990327,2.0970682657498223
3978449781300392193,784,0.4387755102040816,5888.6560088,0.2549011281310529,7.51104082755102
3999845462424248576,3318,0.4349005424954792,5843.152606810001,0.8729677560150556,1.7610465963863777
4011626972687000576,6056,0.38408190224570676,5483.14982082,0.2781392443147202,0.9054078303863937
4031173908980084736,225,0.37777777777777777,5360.425729910001,0.5833533025575024,23.824114355155558
4034359562055356161,799,0.48936170212765956,5284.65441593,0.2047159848297743,6.614085626946183
3951723256343550465,3447,0.3524804177545692,5260.022863890001,0.20048576822688127,1.5259712398868583
3953433416230728705,527,0.20872865275142316,4924.761779980001,0.4084618747774278,9.344899013244783
3966142151544441601,1932,0.5320910973084886,4883.80077594,0.303863972044831,2.527847192515528
4037282461943784704,504,0.2698412698412698,4760.365619499999,0.25724123674566407,9.445169879960316
3977078013600312321,5018,0.32642487046632124,4622.351437599999,0.18533789471325765,0.9211541326424869
4033614723417828608,516,0.22286821705426357,4602.2398164900005,0.2771545638872204,8.919069411802326
4031181049693676544,302,0.24172185430463577,4545.2423384,0.7712237279978442,15.050471319205299
4030395639953224449,492,0.17479674796747968,4413.76154738,0.4736511572014385,8.971060055650407
3879821005658659073,872,0.33142201834862384,4268.00656095,2.0616739267749873,4.894502936869266
3941019213896463617,112,0.49107142857142855,4234.087790029999,0.48928326943914424,37.80435526812499
3878631538480067329,2811,0.5033795802205621,3921.2330411600005,0.4104572850492225,1.3949601711704023
3932103299427844097,2589,0.3005021243723445,3860.3097053499996,0.21871120967134075,1.4910427598879874
4030626027667524352,233,0.4978540772532189,3796.34803991,0.15744272680751165,16.293339227081546
4013978721149559808,294,0.20748299319727892,3778.8782239800003,3.1434690285838127,12.85332729244898
4016164457907769600,712,0.4353932584269663,3742.6873197200002,0.1254299528609518,5.256583314213484
4002413037164645377,576,0.1857638888888889,3686.9697606,2.492177630013401,6.4009891677083335
4029749871687083265,856,0.4287383177570093,3662.13654822,3.1705408328920717,4.278196902126168
3994879592543698688,653,0.552833078101072,3658.7650624,0.8283465412325379,5.603009283920367
4037511388357114368,953,0.4333683105981112,3552.34051692,0.39621077812691025,3.72753464524659
3996598927198996481,2661,0.368282600526118,3509.04461888,1.0693254939861139,1.3186939567380684
3988071780777702657,2385,0.3731656184486373,3424.4699222,0.35867714192781286,1.4358364453668764
4030555430101054209,121,0.2644628099173554,3358.38032001,0.6688799028035486,27.755209256280992
4029299190618134272,230,0.3130434782608696,3354.1458763700007,0.6732096274305341,14.583242940739133
4008804082027254529,975,0.5405128205128205,3332.7334588699996,0.07655048552319497,3.4181881629435895
4036548677626662656,147,0.46258503401360546,3296.87667987,0.5616856610336963,22.427732516122447
3988205565930333696,371,0.38005390835579517,3283.93800993,0.3528639622080676,8.851584932425876
3957509601040585217,1113,0.2695417789757412,3174.1803667200006,0.32208807431247743,2.851914076118599
4023697881318718465,70,0.08571428571428572,3151.95061998,3.307649091012277,45.02786599971429
