Port_ID,Total_Positions,Win_Positions,Loss_Positions,Win_Rate,Total_PnL,Avg_Win,Avg_Loss,ROI,Sharpe_Ratio,MDD,Position_Types,final_score
3891020560590657281,437,283,0,0.6475972540045767,2856.30056379,10.092934854381626,0.0,1.7434069462039081,1.488990514938493,0.47639958713248853,"{'buy_short': 199, 'sell_short': 154, 'sell_long': 84}",0.9055551063313658
4029749871687083265,856,367,0,0.4287383177570093,3662.13654822,9.978573700871934,0.0,3.1705408328920717,1.4091196401216994,0.0,"{'sell_short': 348, 'buy_short': 194, 'sell_long': 173, 'buy_long': 141}",0.8876768820247433
4041860229502600193,97,38,0,0.3917525773195876,2327.33599982,61.24568420578947,0.0,1.3390372802971153,1.9028355716078023,0.0,"{'buy_long': 39, 'sell_short': 20, 'sell_long': 19, 'buy_short': 19}",0.8380124524945419
3986814617275053313,3554,2780,2,0.7822172200337648,16337.46188064,5.877641664787769,-1.190973735,0.871628342633023,1.0976476202240282,1.0,"{'buy_both': 2610, 'sell_both': 944}",0.8003153553812565
4000222729738650369,958,537,188,0.5605427974947808,1803.62013328,4.656438695232775,-3.7068481173404257,0.7204062767497224,0.9968477185941605,1.0,"{'buy_short': 676, 'sell_short': 219, 'sell_long': 49, 'buy_long': 14}",0.7573623352470283
3886752488982104320,1249,931,31,0.745396317053643,7195.178324640001,7.7795611498818475,-1.5352614806451612,0.8994404782536423,0.7336321062930655,1.0,"{'sell_long': 558, 'buy_short': 404, 'buy_long': 175, 'sell_short': 112}",0.7446106573946794
3865845304835489536,882,451,5,0.5113378684807256,1406.06618669,3.451686401906873,-30.128876114,0.710571420923522,0.7219380238964239,0.0,"{'sell_both': 454, 'buy_both': 428}",0.7373413115549446
3999845462424248576,3318,1443,71,0.4349005424954792,5843.152606810001,4.579962275516285,-10.78497122197183,0.8729677560150556,1.0810134126147979,1.0,"{'buy_both': 1704, 'sell_both': 1614}",0.7278321339047464
3826087012661391104,108,63,6,0.5833333333333334,532.65697373,9.015379563333335,-5.885323126666666,12.17851745780603,0.6110268763564038,1.1203233204281757,"{'buy_short': 69, 'sell_short': 23, 'buy_long': 16}",0.7199401633379154
4023616625178799873,827,339,1,0.40991535671100365,2087.7711930100004,6.167728592949852,-3.0888,0.7998545064176268,0.8392077146262226,0.977978665443985,"{'sell_short': 375, 'buy_short': 234, 'buy_long': 112, 'sell_long': 106}",0.7074472386189051
4022641794255717633,6052,2634,495,0.43522802379378717,2176.83382376,0.9237569932536067,-0.5178628211515152,1.847685980160385,0.8301079789797282,1.024988952770324,"{'buy_short': 3129, 'sell_short': 2923}",0.6825988517829708
3944088772635000577,6063,2774,131,0.4575292759360053,7581.491983399999,2.7706989783561644,-0.7971525386259541,0.7088427632933676,0.8165157886988094,1.0,"{'sell_both': 3254, 'buy_both': 2809}",0.6754831406161559
4037121179310444801,1595,772,76,0.48401253918495296,7237.92173826,12.249613015829016,-29.194467236315788,0.12970305351111835,1.3509062708139956,0.0,"{'buy_short': 455, 'sell_short': 435, 'sell_long': 393, 'buy_long': 312}",0.6688849357160184
3939318616482048768,315,118,3,0.3746031746031746,9775.389109840002,83.57959720186442,-29.001119993333333,1.0162799258193589,0.68839891293992,1.0,"{'sell_both': 221, 'buy_both': 94}",0.6352146842403169
4012994295026226176,627,251,57,0.4003189792663477,2500.33664614,11.71902013876494,-7.739252784035088,1.5614641744135835,0.37013058267551935,0.0,"{'sell_short': 249, 'buy_short': 243, 'buy_long': 70, 'sell_long': 65}",0.6326433249777634
4030565764341697025,105,51,2,0.4857142857142857,2789.8782899599996,54.78253109039216,-2.015397825,0.8709829228719865,0.6527724112881953,1.0002667851141007,"{'buy_short': 29, 'buy_long': 27, 'sell_short': 25, 'sell_long': 24}",0.6302175143527129
4013978721149559808,294,61,0,0.20748299319727892,3778.8782239800003,61.94882334393443,0.0,3.1434690285838127,0.6781648399413742,1.0,"{'buy_both': 216, 'sell_both': 78}",0.6217918654483706
4030635536196756737,1294,679,19,0.5247295208655333,2581.61417484,3.9743147122974967,-6.155027095263159,0.27624763409257014,1.1875385136192416,1.0180554412419238,"{'buy_both': 698, 'sell_both': 596}",0.6185655373170534
4031414524297538817,244,90,14,0.36885245901639346,2726.7956177399997,30.49309130711111,-1.255899992857143,1.3301405105399107,0.6861804664938426,1.0008548402343773,"{'sell_short': 106, 'buy_short': 68, 'sell_long': 36, 'buy_long': 34}",0.6090159294897711
4021243448368889856,6050,2290,499,0.3785123966942149,1498.1937578999998,0.9832315014759827,-1.5098324258116234,0.0856193689788358,1.7955810644313441,0.7994838034648495,"{'buy_long': 1759, 'sell_long': 1577, 'sell_short': 1502, 'buy_short': 1212}",0.6031454677771488
